# Steple pair pool
# Generated: 2026-06-06
# Word length: 4   Moves: 4–5   Sample: 500,000
# Pairs: 19752 (easy: 13521, medium: 6231, hard: 0)
# Format: START,TARGET  # score=N tier=X moves=N avg=N min=N conc=N
# ── Easy (score 1–6, moves 4) ───────────────────────────
ALAN,WHAT  # score=4 tier=easy moves=4 avg=9.6 min=9 conc=0.52
ALAS,PRAY  # score=4 tier=easy moves=4 avg=9.8 min=7 conc=0.49
AMID,GRAY  # score=4 tier=easy moves=4 avg=9.4 min=7 conc=0.49
ARID,DRAM  # score=4 tier=easy moves=4 avg=9.6 min=7 conc=0.48
BEAU,HEMP  # score=4 tier=easy moves=4 avg=9.6 min=7 conc=0.49
BEEN,CHIN  # score=4 tier=easy moves=4 avg=10.6 min=8 conc=0.43
BEER,THIN  # score=4 tier=easy moves=4 avg=11 min=8 conc=0.43
BOND,LOAD  # score=4 tier=easy moves=4 avg=11.4 min=10 conc=0.37
CHAP,STEP  # score=4 tier=easy moves=4 avg=9.8 min=7 conc=0.49
CHEW,LOOP  # score=4 tier=easy moves=4 avg=10 min=7 conc=0.41
CHIN,TREE  # score=4 tier=easy moves=4 avg=10.6 min=8 conc=0.42
CHIP,SLAM  # score=4 tier=easy moves=4 avg=11.4 min=9 conc=0.39
CHIP,SPAN  # score=4 tier=easy moves=4 avg=9.8 min=9 conc=0.44
CHIP,TEEN  # score=4 tier=easy moves=4 avg=10.4 min=8 conc=0.46
CHOP,STEW  # score=4 tier=easy moves=4 avg=9.8 min=7 conc=0.45
CHOP,COCA  # score=4 tier=easy moves=4 avg=9.8 min=8 conc=0.41
COAL,COMB  # score=4 tier=easy moves=4 avg=10 min=7 conc=0.42
COAL,CROW  # score=4 tier=easy moves=4 avg=10.8 min=7 conc=0.44
COAL,COMA  # score=4 tier=easy moves=4 avg=10.6 min=7 conc=0.41
COMA,CROW  # score=4 tier=easy moves=4 avg=10.2 min=8 conc=0.42
COMA,PROP  # score=4 tier=easy moves=4 avg=10.4 min=8 conc=0.43
COMA,CHOW  # score=4 tier=easy moves=4 avg=9.6 min=7 conc=0.36
COMA,CHAP  # score=4 tier=easy moves=4 avg=10.4 min=8 conc=0.43
COMA,CHIP  # score=4 tier=easy moves=4 avg=10.4 min=8 conc=0.42
COMB,CHIP  # score=4 tier=easy moves=4 avg=9.8 min=7 conc=0.42
COMB,FOOL  # score=4 tier=easy moves=4 avg=10.8 min=7 conc=0.42
COMB,CHOW  # score=4 tier=easy moves=4 avg=9 min=7 conc=0.37
COME,CHOW  # score=4 tier=easy moves=4 avg=11.6 min=7 conc=0.36
COMP,CREW  # score=4 tier=easy moves=4 avg=9.6 min=7 conc=0.43
COMP,CHIN  # score=4 tier=easy moves=4 avg=10.8 min=8 conc=0.44
CONN,THIS  # score=4 tier=easy moves=4 avg=10 min=8 conc=0.43
COOP,DREW  # score=4 tier=easy moves=4 avg=9.4 min=7 conc=0.44
CROP,COLA  # score=4 tier=easy moves=4 avg=10.8 min=8 conc=0.39
CROP,SOMA  # score=4 tier=easy moves=4 avg=10 min=8 conc=0.44
CROW,COMB  # score=4 tier=easy moves=4 avg=9.6 min=7 conc=0.43
DAMP,COCA  # score=4 tier=easy moves=4 avg=9.4 min=8 conc=0.52
DARK,WISH  # score=4 tier=easy moves=4 avg=10.6 min=7 conc=0.4
DREW,FLED  # score=4 tier=easy moves=4 avg=9.4 min=7 conc=0.42
DREW,FLOW  # score=4 tier=easy moves=4 avg=9.8 min=7 conc=0.41
DUDE,TYPE  # score=4 tier=easy moves=4 avg=11.4 min=10 conc=0.38
FIND,POLY  # score=4 tier=easy moves=4 avg=12 min=9 conc=0.35
FLEW,DRAW  # score=4 tier=easy moves=4 avg=9 min=7 conc=0.45
FOND,LOAN  # score=4 tier=easy moves=4 avg=11.2 min=10 conc=0.37
FORT,LIFT  # score=4 tier=easy moves=4 avg=10.6 min=7 conc=0.39
GRID,PREY  # score=4 tier=easy moves=4 avg=9.8 min=7 conc=0.5
GRIM,DREW  # score=4 tier=easy moves=4 avg=9.4 min=7 conc=0.49
HEAP,WILD  # score=4 tier=easy moves=4 avg=10.4 min=9 conc=0.43
HEMP,BRAD  # score=4 tier=easy moves=4 avg=10.6 min=7 conc=0.44
LOFT,PORK  # score=4 tier=easy moves=4 avg=10.2 min=7 conc=0.43
LOOP,CREW  # score=4 tier=easy moves=4 avg=10 min=7 conc=0.48
LORD,REAP  # score=4 tier=easy moves=4 avg=10 min=8 conc=0.43
LOUD,FOOL  # score=4 tier=easy moves=4 avg=10.8 min=7 conc=0.44
LUNA,TYPE  # score=4 tier=easy moves=4 avg=9 min=7 conc=0.44
LUNA,TYRE  # score=4 tier=easy moves=4 avg=9.6 min=7 conc=0.44
METH,SALT  # score=4 tier=easy moves=4 avg=11 min=7 conc=0.41
NEXT,HEMP  # score=4 tier=easy moves=4 avg=10 min=7 conc=0.47
NUDE,TYNE  # score=4 tier=easy moves=4 avg=10.8 min=7 conc=0.41
PREY,CLAW  # score=4 tier=easy moves=4 avg=9.6 min=7 conc=0.5
PREY,CLAN  # score=4 tier=easy moves=4 avg=9.8 min=7 conc=0.49
PROP,CHIT  # score=4 tier=easy moves=4 avg=9.6 min=8 conc=0.52
PROP,DREW  # score=4 tier=easy moves=4 avg=9 min=7 conc=0.47
