# Datamuse-suggested pairs — review and copy good ones to word-pairs.txt
# Then run: validateWordPairs.ts
# Format: START,TARGET  # metrics
BAKE,PIES  # moves=5 avg=10.5 min=6
BALL,PUNT  # moves=5 avg=7.7 min=5
BALL,KICK  # moves=5 avg=9.7 min=5
BARB,HOSE  # moves=5 avg=13 min=6
BARN,COOP  # moves=5 avg=8.5 min=7
BARS,BEAM  # moves=5 avg=11.8 min=7
BARS,BEER  # moves=4 avg=11.8 min=6
BASE,WING  # moves=5 avg=13.7 min=8
BATS,NOTE  # moves=4 avg=10.8 min=8
BEAD,TIRE  # moves=5 avg=9.5 min=8
BEAR,BULL  # moves=4 avg=12 min=7
BEAT,SEED  # moves=4 avg=10.2 min=6
BEAT,POLL  # moves=5 avg=9.8 min=5
BECK,GILL  # moves=5 avg=8.2 min=5
BECK,RUSH  # moves=5 avg=7.8 min=5
BEER,CANS  # moves=5 avg=11.2 min=6
BELL,RANG  # moves=5 avg=10.3 min=5
BELL,CAST  # moves=5 avg=11.3 min=9
BEND,DAME  # moves=5 avg=10.7 min=7
BETS,TOTE  # moves=5 avg=11.5 min=6
BIKE,RACK  # moves=4 avg=11.4 min=6
BITE,TICK  # moves=4 avg=8.6 min=7
BITE,JAWS  # moves=5 avg=11.3 min=6
BITS,HASH  # moves=4 avg=9 min=7
BOIL,SORE  # moves=5 avg=10 min=5
BOLD,SEED  # moves=4 avg=8.6 min=6
BOOM,BUST  # moves=5 avg=8.5 min=5
BOOT,HEEL  # moves=5 avg=8.7 min=5
BOSS,GANG  # moves=4 avg=10 min=7
BUCK,MIKE  # moves=5 avg=9.2 min=7
BUGS,HARE  # moves=4 avg=12.6 min=6
BULL,POPE  # moves=4 avg=9.8 min=8
BUNK,BEDS  # moves=5 avg=9 min=5
BUSH,GORE  # moves=5 avg=9.8 min=7
BUSH,CUTS  # moves=5 avg=10.2 min=7
CAGE,FIST  # moves=4 avg=11.2 min=6
CAGE,MASK  # moves=4 avg=12 min=5
CANS,COLA  # moves=4 avg=12 min=5
CANT,STAT  # moves=4 avg=10 min=6
CAPS,BOLD  # moves=5 avg=12.2 min=9
CAPS,LOCK  # moves=5 avg=10.7 min=8
CAPS,WORN  # moves=4 avg=11.8 min=9
CARD,PILE  # moves=5 avg=13 min=9
CARD,DECK  # moves=5 avg=10.2 min=6
CARE,SICK  # moves=5 avg=14.3 min=10
CARE,BEDS  # moves=5 avg=15 min=5
CARL,BACH  # moves=5 avg=8.8 min=5
CATS,PIGS  # moves=4 avg=11.8 min=7
CATS,MICE  # moves=5 avg=11.3 min=8
CAVE,BATS  # moves=4 avg=13.2 min=9
CHAT,MOSS  # moves=4 avg=7.6 min=6
CHAT,LOGS  # moves=5 avg=7.8 min=6
CITE,LACK  # moves=4 avg=10.6 min=8
CODE,BITS  # moves=4 avg=11 min=9
COLD,HEAT  # moves=4 avg=10.2 min=7
COLD,WARM  # moves=4 avg=10 min=8
COME,BACK  # moves=5 avg=13.3 min=8
COOL,WARM  # moves=5 avg=7.8 min=5
COOL,DAMP  # moves=4 avg=7 min=6
COOL,MILD  # moves=5 avg=7.8 min=6
COPS,GANG  # moves=5 avg=11 min=8
CORE,MATH  # moves=4 avg=15.8 min=10
CORY,WADE  # moves=4 avg=14 min=7
COTE,SANS  # moves=4 avg=15 min=13
COWS,PIGS  # moves=5 avg=8.5 min=6
DALE,LAPS  # moves=4 avg=8.8 min=5
DARK,DOTS  # moves=5 avg=10.7 min=6
DARN,BITE  # moves=5 avg=10.5 min=6
DARN,PUNK  # moves=5 avg=8.5 min=6
DARN,GOOD  # moves=5 avg=7.8 min=5
DEED,POLL  # moves=5 avg=9.5 min=5
DIES,MINT  # moves=4 avg=8.8 min=6
DING,WARE  # moves=4 avg=13.2 min=8
DISK,FILE  # moves=4 avg=8.8 min=5
DOES,SEEM  # moves=4 avg=8.4 min=6
DUCK,TEAL  # moves=5 avg=8 min=7
DUES,FEES  # moves=4 avg=7 min=5
DUNE,SAND  # moves=5 avg=12.2 min=5
EARS,TAIL  # moves=5 avg=11.3 min=9
FACE,MASK  # moves=4 avg=9.8 min=5
FACE,NOSE  # moves=5 avg=11 min=8
FACE,NECK  # moves=4 avg=8.8 min=5
FADE,PINK  # moves=5 avg=9.3 min=5
FAIL,SAFE  # moves=5 avg=12.8 min=7
FAKE,PUNT  # moves=5 avg=12.5 min=5
FALL,LIFT  # moves=5 avg=8.7 min=5
FALL,LOVE  # moves=5 avg=10.7 min=7
FAME,HALL  # moves=4 avg=13.2 min=10
FANS,HEAR  # moves=5 avg=10.2 min=6
FARE,ZONE  # moves=4 avg=11.6 min=7
FARM,WIND  # moves=4 avg=8.4 min=5
FEET,TALL  # moves=4 avg=9.8 min=5
FELL,LOVE  # moves=5 avg=10.7 min=9
FILL,SEAT  # moves=4 avg=11.8 min=9
FIND,LOSE  # moves=4 avg=12.6 min=8
FIND,CURE  # moves=5 avg=11 min=8
FIND,WAYS  # moves=5 avg=11.8 min=8
FINE,SAND  # moves=4 avg=13.4 min=10
FINS,RAYS  # moves=4 avg=12.2 min=9
FIRE,BURN  # moves=4 avg=12 min=5
FIRE,GUNS  # moves=5 avg=9.8 min=5
FITS,RAGE  # moves=4 avg=10.6 min=8
FITS,HOLE  # moves=5 avg=11.2 min=7
FOOL,LOVE  # moves=5 avg=9.2 min=6
FOOT,HEAD  # moves=5 avg=8.8 min=6
FOOT,FEET  # moves=5 avg=8.2 min=6
FOOT,TALL  # moves=4 avg=8.2 min=6
GAGE,HOWE  # moves=4 avg=11.8 min=5
GANG,RAPE  # moves=5 avg=11.8 min=8
GAPS,WIRE  # moves=5 avg=13 min=6
GATE,WALL  # moves=4 avg=13 min=9
GAVE,RISE  # moves=4 avg=10.6 min=7
GILL,FINS  # moves=4 avg=11.2 min=9
GIVE,TAKE  # moves=4 avg=10.8 min=5
GIVE,RISE  # moves=4 avg=8.2 min=5
GOLD,COIN  # moves=4 avg=9.4 min=6
GOLD,MINE  # moves=4 avg=9.4 min=6
GONE,WIND  # moves=4 avg=9 min=7
GOOD,HOPE  # moves=4 avg=9.2 min=5
GUTS,GORE  # moves=5 avg=10.7 min=6
HARD,DISK  # moves=5 avg=8.3 min=5
HARD,ROCK  # moves=5 avg=10.5 min=6
HARM,DONE  # moves=5 avg=11.8 min=6
HART,LANE  # moves=4 avg=12.6 min=8
HATE,LOVE  # moves=4 avg=11.2 min=9
HATE,MAIL  # moves=4 avg=13.6 min=9
HATS,WORN  # moves=5 avg=12 min=9
HAVE,MISS  # moves=5 avg=13.3 min=5
HAVE,LACK  # moves=4 avg=10.6 min=8
HAYS,WINS  # moves=4 avg=12 min=9
HEAD,NECK  # moves=5 avg=8.2 min=5
HEAD,TAIL  # moves=5 avg=11.5 min=7
HEAL,SCAR  # moves=4 avg=7.6 min=5
HEAP,PILE  # moves=5 avg=10.3 min=5
HEEL,TOES  # moves=4 avg=7.2 min=5
HEEL,HOOK  # moves=5 avg=8.8 min=5
HIDE,CAVE  # moves=4 avg=10.2 min=7
HIRE,SACK  # moves=5 avg=12.7 min=9
HITS,NOTE  # moves=4 avg=9.2 min=7
HOME,BATS  # moves=5 avg=12.8 min=9
HOOD,REAR  # moves=5 avg=10 min=7
HOOK,ROPE  # moves=5 avg=11.3 min=6
HOSE,CART  # moves=4 avg=10.4 min=7
HOST,CELL  # moves=5 avg=10.3 min=8
HULL,BEAM  # moves=5 avg=10.2 min=7
HUNK,BIKE  # moves=5 avg=8.7 min=6
HUNT,PACK  # moves=4 avg=8.2 min=5
HUSH,KITS  # moves=5 avg=7.5 min=5
JACK,JILL  # moves=5 avg=10 min=5
JAMS,PIES  # moves=5 avg=10.7 min=6
JARS,POTS  # moves=4 avg=11.4 min=7
JETS,PUNT  # moves=5 avg=10.2 min=5
KICK,PUNT  # moves=4 avg=7.8 min=5
KITS,TOYS  # moves=4 avg=8.4 min=5
LAID,YARD  # moves=4 avg=8.8 min=5
LAID,BARE  # moves=4 avg=11 min=5
LAME,DUCK  # moves=4 avg=9.8 min=7
LARS,LONE  # moves=4 avg=9.4 min=6
LAYS,NEST  # moves=5 avg=11 min=7
LEAD,BASS  # moves=5 avg=11.5 min=8
LEND,EARS  # moves=5 avg=10.8 min=7
LESS,MORE  # moves=4 avg=10.6 min=8
LEST,HARM  # moves=4 avg=11 min=6
LICK,FORK  # moves=5 avg=9.2 min=5
LIMP,RAGE  # moves=5 avg=11.2 min=7
LIMP,CANE  # moves=4 avg=11.4 min=7
LINE,RAIL  # moves=5 avg=11 min=7
LINK,NODE  # moves=4 avg=10.8 min=7
LITE,BEER  # moves=5 avg=10.3 min=6
LOCK,BOLT  # moves=4 avg=7.2 min=6
LOGS,BARK  # moves=5 avg=9.7 min=6
LONG,LEGS  # moves=5 avg=8.2 min=5
LONG,WIDE  # moves=4 avg=11.6 min=9
LOOK,LIKE  # moves=5 avg=9.8 min=6
LORE,TALE  # moves=4 avg=15 min=12
LOST,SEAT  # moves=4 avg=12.6 min=11
LOST,SEED  # moves=5 avg=11.5 min=6
LOST,SETS  # moves=4 avg=11 min=8
LOWE,NICK  # moves=5 avg=9.7 min=6
MAID,CAFE  # moves=5 avg=9.7 min=5
MAKE,SURE  # moves=4 avg=14.6 min=6
MAKE,FEEL  # moves=5 avg=12.2 min=8
MAST,SAIL  # moves=5 avg=12.2 min=8
MATE,NEST  # moves=5 avg=11.5 min=6
MATT,NICK  # moves=5 avg=10 min=6
MATT,KICK  # moves=5 avg=9.8 min=6
MAZE,DOTS  # moves=5 avg=11.8 min=6
MESS,TENT  # moves=4 avg=8.6 min=7
MESS,WORN  # moves=5 avg=11.3 min=8
METH,HANK  # moves=5 avg=9 min=5
METH,LABS  # moves=5 avg=9.2 min=5
MICE,RATS  # moves=4 avg=11 min=9
MILL,CORN  # moves=5 avg=10.2 min=6
MISS,TEEN  # moves=5 avg=7.2 min=5
MIST,HAZE  # moves=5 avg=9.3 min=6
MIST,NETS  # moves=4 avg=7.4 min=5
MOLE,RATS  # moves=4 avg=14 min=9
MOSS,VALE  # moves=5 avg=7.8 min=5
MOSS,HART  # moves=4 avg=12.2 min=9
MOSS,BARK  # moves=4 avg=10.4 min=7
MOVE,REST  # moves=5 avg=10.2 min=7
